view,domain,surface,code,name,n,k,share,lo,hi,pv_share
all,教育,search_top10k,U06,办事与操作,9981,73,0.007313896403166016,0.005821394889927466,0.009185513181603683,0.006557527870981708
all,教育,search_top10k,U07,个案判断与建议,9981,11,0.0011020939785592627,0.0006155139373005362,0.0019725691826159584,0.0005909730490312804
all,教育,search_top10k,U08,清单与推荐,9981,400,0.040076144674882276,0.03640181153834068,0.04410438297154518,0.025494371685247322
all,教育,search_top10k,U09,获取现成内容,9981,466,0.04668870854623785,0.04272126897538934,0.05100496499911857,0.0493789912328174
all,教育,search_top10k,U10,生成与编辑,9981,89,0.008916942190161306,0.007252281173682297,0.010959484949878438,0.005103907349280225
all,教育,search_top10k,U11,会话与系统指令,9981,13,0.001302474701933674,0.0007613514049803047,0.0022273389714398883,0.0010070759822491612
all,教育,search_top10k,U12,违规或灰色内容,9981,11,0.0011020939785592627,0.0006155139373005362,0.0019725691826159584,0.0009530928671934192
all,教育,search_top10k,U13,无法判定,9981,431,0.043182045887185654,0.03936688089466375,0.04734872609102944,0.0300525625067648
all,教育,assistant_top1k,U01,导航直达,859,34,0.03958090803259604,0.028460709625823657,0.05480092263669126,0.13095700046769546
all,教育,assistant_top1k,U02,裸实体,859,135,0.15715948777648428,0.13435323622338163,0.18301857338802324,0.12251230972135138
all,教育,assistant_top1k,U03,事实与数值,859,25,0.02910360884749709,0.01978958249618814,0.042610746834247475,0.0218895123563771
all,教育,assistant_top1k,U04,解释与介绍,859,14,0.01629802095459837,0.009732740626754752,0.027170440675583937,0.00946315163004949
all,教育,assistant_top1k,U05,核实与动态,859,2,0.002328288707799767,0.0006387197502677883,0.008449390975965159,0.004095464492129402
all,教育,assistant_top1k,U06,办事与操作,859,10,0.011641443538998836,0.006335437881492166,0.021296053228811278,0.004635988424822225
all,教育,assistant_top1k,U07,个案判断与建议,859,3,0.0034924330616996507,0.0011884164608494587,0.010217616813392302,0.0012369463470254683
