view,surface,code,name,n,k,share,lo,hi,pv_share
interpretable,search_1001plus,U12,违规或灰色内容,8896,61,0.0068570143884892085,0.005342211675986471,0.008797545597895796,0.007198699589751529
interpretable,assistant_top1k,U01,导航直达,802,1,0.0012468827930174563,0.00022013368632942164,0.007028933624169316,0.0010261124730703514
interpretable,assistant_top1k,U02,裸实体,802,515,0.64214463840399,0.6083620968527236,0.6745719189637843,0.6731065671198276
interpretable,assistant_top1k,U03,事实与数值,802,43,0.05361596009975062,0.04004613173653594,0.07144178350636043,0.04386746898447366
interpretable,assistant_top1k,U04,解释与介绍,802,87,0.1084788029925187,0.0887924379026731,0.13189807993606845,0.12557573731520688
interpretable,assistant_top1k,U05,核实与动态,802,98,0.12219451371571072,0.10131107360278632,0.14668009488491646,0.09659386375455019
interpretable,assistant_top1k,U06,办事与操作,802,0,0.0,0.0,0.0047671899787749845,0.0
interpretable,assistant_top1k,U07,个案判断与建议,802,1,0.0012468827930174563,0.00022013368632942164,0.007028933624169316,0.0015600624024961
interpretable,assistant_top1k,U08,清单与推荐,802,20,0.02493765586034913,0.01620024062021852,0.03820449599303153,0.019765433474481835
interpretable,assistant_top1k,U09,获取现成内容,802,19,0.02369077306733167,0.01521812014845653,0.036704739133069764,0.021320852834113363
interpretable,assistant_top1k,U10,生成与编辑,802,0,0.0,0.0,0.0047671899787749845,0.0
interpretable,assistant_top1k,U11,会话与系统指令,802,4,0.004987531172069825,0.0019411804169931187,0.01275351888867688,0.004220525963895699
interpretable,assistant_top1k,U12,违规或灰色内容,802,14,0.017456359102244388,0.010426311024882633,0.0290871615980249,0.012963375677884258
interpretable,assistant_random1k,U01,导航直达,862,2,0.002320185614849188,0.0006364960211886228,0.008420125882864034,
interpretable,assistant_random1k,U02,裸实体,862,108,0.12529002320185614,0.10483902565398602,0.1490660766187622,
interpretable,assistant_random1k,U03,事实与数值,862,199,0.2308584686774942,0.20395912446713257,0.26014608831081665,
interpretable,assistant_random1k,U04,解释与介绍,862,146,0.16937354988399073,0.14581342618933651,0.19586754640426485,
interpretable,assistant_random1k,U05,核实与动态,862,155,0.17981438515081208,0.15561530966337114,0.20685468484832706,
interpretable,assistant_random1k,U06,办事与操作,862,1,0.001160092807424594,0.00020480895877401407,0.0065419216210456654,
interpretable,assistant_random1k,U07,个案判断与建议,862,20,0.02320185614849188,0.015068933901426244,0.03556573183882,
interpretable,assistant_random1k,U08,清单与推荐,862,143,0.16589327146171692,0.1425535856475553,0.19219771297334712,
interpretable,assistant_random1k,U09,获取现成内容,862,32,0.037122969837587005,0.026416903999309238,0.05193645763173273,
interpretable,assistant_random1k,U10,生成与编辑,862,9,0.010440835266821345,0.00550247058864932,0.019723390585034178,
interpretable,assistant_random1k,U11,会话与系统指令,862,9,0.010440835266821345,0.00550247058864932,0.019723390585034178,
interpretable,assistant_random1k,U12,违规或灰色内容,862,38,0.04408352668213457,0.03228387341949478,0.05992883615694505,
