source,label,n,distinct,hhi_strings,top1_pv_share,top5_pv_share
assistant_random,4,32,32,0.03125,0.05555555555555555,0.25
assistant_random,3,9,9,0.1111111111111111,0.1111111111111111,0.5555555555555555
assistant_random,13,9,9,0.1111111111111111,0.1111111111111111,0.5555555555555555
assistant_random,21,37,37,0.027027027027027025,0.05263157894736843,0.15789473684210528
assistant_random,17,12,12,0.08333333333333334,0.08333333333333331,0.4166666666666666
assistant_random,18,24,24,0.041666666666666664,0.08,0.24
assistant_random,28,10,10,0.10000000000000003,0.09999999999999999,0.49999999999999994
assistant_random,23,4,4,0.25,0.25,1.0
assistant_random,24,4,4,0.25,0.25,1.0
assistant_voice,25,24,20,0.05555555555555556,0.041666666666666664,0.20833333333333334
assistant_voice,0,133,91,0.029227203346712628,0.007518796992481203,0.03759398496240601
assistant_voice,12,40,36,0.03125000000000001,0.025,0.125
assistant_voice,16,46,40,0.03686200378071834,0.021739130434782608,0.10869565217391304
assistant_voice,20,153,142,0.008073817762399078,0.006535947712418301,0.032679738562091505
assistant_voice,5,112,108,0.009566326530612242,0.008928571428571428,0.044642857142857144
assistant_voice,13,6,6,0.16666666666666669,0.16666666666666666,0.8333333333333334
assistant_voice,14,39,31,0.04010519395134778,0.02564102564102564,0.1282051282051282
assistant_voice,18,39,35,0.03221564760026298,0.02564102564102564,0.1282051282051282
assistant_voice,28,15,15,0.06666666666666667,0.06666666666666667,0.3333333333333333
assistant_voice,21,28,26,0.04081632653061225,0.03571428571428571,0.17857142857142858
assistant_voice,15,25,24,0.0432,0.04,0.2
assistant_voice,22,20,19,0.055000000000000014,0.05,0.25
assistant_voice,26,26,25,0.04142011834319527,0.038461538461538464,0.19230769230769232
assistant_voice,9,66,63,0.016528925619834715,0.015151515151515152,0.07575757575757576
assistant_voice,29,22,22,0.045454545454545456,0.045454545454545456,0.22727272727272727
assistant_voice,8,40,36,0.03125000000000001,0.025,0.125
assistant_voice,17,13,10,0.12426035502958582,0.07692307692307693,0.38461538461538464
assistant_voice,11,28,27,0.03826530612244898,0.03571428571428571,0.17857142857142858
assistant_voice,19,25,22,0.049599999999999984,0.04,0.2
assistant_voice,30,9,9,0.1111111111111111,0.1111111111111111,0.5555555555555556
assistant_voice,3,15,14,0.07555555555555556,0.06666666666666667,0.3333333333333333
assistant_voice,4,24,21,0.052083333333333336,0.041666666666666664,0.20833333333333334
assistant_voice,1,20,15,0.10500000000000004,0.05,0.25
assistant_voice,27,22,22,0.045454545454545456,0.045454545454545456,0.22727272727272727
assistant_voice,24,8,4,0.34375,0.125,0.625
assistant_voice,23,2,2,0.5,0.5,1.0
