label,a,b,k_a,k_b,n_a,n_b,share_a,share_b,diff_pp,lo_pp,hi_pp,kind,sig,why
18,assistant_top,assistant_random,1,0,850,953,0.001176470588235294,0.0,-0.1176470588235294,-0.6633679716695942,0.2953487185758635,receded,False,深度（助手头部→长尾）
15,assistant_top,assistant_random,2,2,850,953,0.002352941176470588,0.002098635886673662,-0.025430528979692585,-0.6624333027615641,0.5524503287762964,stable,False,深度（助手头部→长尾）
25,assistant_top,assistant_random,0,1,850,953,0.0,0.001049317943336831,0.1049317943336831,-0.35319354290847454,0.5919684746819377,emergent,False,深度（助手头部→长尾）
26,assistant_top,assistant_random,0,2,850,953,0.0,0.002098635886673662,0.2098635886673662,-0.26511618553241856,0.7619439146519349,emergent,False,深度（助手头部→长尾）
16,assistant_top,assistant_random,5,10,850,953,0.0058823529411764705,0.01049317943336831,0.46108264921918396,-0.45505748770349047,1.3952883293621434,stable,False,深度（助手头部→长尾）
3,assistant_top,assistant_random,7,14,850,953,0.00823529411764706,0.014690451206715634,0.6455157089068575,-0.40392868597683657,1.7148446096172525,stable,False,深度（助手头部→长尾）
13,assistant_top,assistant_random,0,7,850,953,0.0,0.007345225603357817,0.7345225603357817,0.14672788246087554,1.508369760685924,emergent,True,深度（助手头部→长尾）
21,assistant_top,assistant_random,71,579,850,953,0.08352941176470588,0.6075550891920252,52.40256774273193,48.65334597765715,55.8845546663715,stable,True,深度（助手头部→长尾）
24,2026search,assistant_random,1253,21,9995,953,0.12536268134067033,0.022035676810073453,-10.332700453059687,-11.340017390363096,-9.026450086032659,stable,True,界面+深度（不可单独归因）
3,2026search,assistant_random,1111,14,9995,953,0.11115557778889444,0.014690451206715634,-9.64651265821788,-10.511889600787496,-8.495313568444747,stable,True,界面+深度（不可单独归因）
18,2026search,assistant_random,805,0,9995,953,0.08054027013506754,0.0,-8.054027013506754,-8.603777214960811,-7.399040655965004,receded,True,界面+深度（不可单独归因）
17,2026search,assistant_random,631,3,9995,953,0.06313156578289145,0.0031479538300104933,-5.998361195288095,-6.534028118001363,-5.236928810116847,stable,True,界面+深度（不可单独归因）
4,2026search,assistant_random,1133,57,9995,953,0.11335667833916958,0.05981112277019937,-5.354555556897021,-6.83455898322526,-3.5593009612097717,stable,True,界面+深度（不可单独归因）
20,2026search,assistant_random,982,58,9995,953,0.09824912456228115,0.060860440713536204,-3.738868384874494,-5.214664469102407,-1.9451520240370903,stable,True,界面+深度（不可单独归因）
11,2026search,assistant_random,250,0,9995,953,0.02501250625312656,0.0,-2.501250625312656,-2.826134255972593,-2.006935703252587,receded,True,界面+深度（不可单独归因）
15,2026search,assistant_random,226,2,9995,953,0.022611305652826413,0.002098635886673662,-2.051266976615275,-2.3969282161602044,-1.4350998107411164,stable,True,界面+深度（不可单独归因）
19,2026search,assistant_random,192,0,9995,953,0.0192096048024012,0.0,-1.92096048024012,-2.209107636794681,-1.4473741739445112,receded,True,界面+深度（不可单独归因）
13,2026search,assistant_random,265,7,9995,953,0.026513256628314157,0.007345225603357817,-1.9168031024956338,-2.4211720164897863,-1.0878360589047829,stable,True,界面+深度（不可单独归因）
25,2026search,assistant_random,195,1,9995,953,0.01950975487743872,0.001049317943336831,-1.846043693410189,-2.1488172603554534,-1.2970932824497312,stable,True,界面+深度（不可单独归因）
12,2026search,assistant_random,178,1,9995,953,0.017808904452226115,0.001049317943336831,-1.6759586508889286,-1.9674775676934715,-1.1323931215196754,stable,True,界面+深度（不可单独归因）
5,2026search,assistant_random,228,8,9995,953,0.022811405702851426,0.008394543546694649,-1.4416862156156778,-1.9594076221528214,-0.5879995640462021,stable,True,界面+深度（不可单独归因）
0,2026search,assistant_random,257,14,9995,953,0.025712856428214106,0.014690451206715634,-1.102240522149847,-1.7794947099050205,-0.07792078290595854,stable,True,界面+深度（不可单独归因）
26,2026search,assistant_random,120,2,9995,953,0.01200600300150075,0.002098635886673662,-0.9907367114827089,-1.269131332976513,-0.40504705361361626,stable,True,界面+深度（不可单独归因）
16,2026search,assistant_random,198,10,9995,953,0.019809904952476236,0.01049317943336831,-0.9316725519107927,-1.4922202577953527,-0.023631556749720457,stable,True,界面+深度（不可单独归因）
23,2026search,assistant_random,165,11,9995,953,0.016508254127063533,0.011542497376705142,-0.49657567503583916,-1.071878516750181,0.43352434097662546,stable,False,界面+深度（不可单独归因）
22,2026search,assistant_random,81,5,9995,953,0.008104052026013006,0.005246589716684155,-0.28574623093288515,-0.6442011284192566,0.42950341473386705,stable,False,界面+深度（不可单独归因）
14,2026search,assistant_random,29,3,9995,953,0.0029014507253626812,0.0031479538300104933,0.0246503104647812,-0.21838804709259865,0.6376315734570372,stable,False,界面+深度（不可单独归因）
1,2026search,assistant_random,1616,157,9995,953,0.1616808404202101,0.16474291710388247,0.30620766836723656,-2.0318879787995714,2.8939988640775742,stable,False,界面+深度（不可单独归因）
21,2026search,assistant_random,80,579,9995,953,0.0080040020010005,0.6075550891920252,59.95510871910247,56.811670484780606,63.01018327012166,stable,True,界面+深度（不可单独归因）
