domain,a,b,why,marker,share_a,share_b,diff_pp,lo_pp,hi_pp,sig
软件,assistant_top,assistant_random,深度（助手头部→长尾）,输出约束,0.0234,0.0407,1.72,0.14,3.35,True
软件,assistant_top,assistant_random,深度（助手头部→长尾）,导航词,0.0447,0.0569,1.22,-0.76,3.21,False
软件,assistant_top,assistant_random,深度（助手头部→长尾）,资源词,0.1181,0.0986,-1.95,-4.75,0.83,False
软件,assistant_top,assistant_random,深度（助手头部→长尾）,回指上文,0.017,0.0285,1.14,-0.22,2.54,False
软件,assistant_top,assistant_random,深度（助手头部→长尾）,多问句(一行≥2问),0.0,0.0122,1.22,0.56,2.12,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,疑问句,0.2083,0.4563,24.8,21.61,28.02,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,祈使/委托,0.0028,0.0559,5.31,4.03,6.93,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,第一人称,0.005,0.128,12.3,10.35,14.54,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,称呼对方,0.0027,0.0386,3.59,2.55,4.99,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,家庭成员,0.003,0.0102,0.72,0.24,1.57,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,身份/人生阶段,0.0052,0.0102,0.5,0.01,1.35,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,情绪词,0.0007,0.0,-0.07,-0.14,0.32,False
软件,2026search,assistant_random,界面+深度（不可单独归因）,是非核实,0.0078,0.1087,10.09,8.29,12.2,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,方法/怎么办,0.0359,0.1311,9.52,7.52,11.8,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,选择清单,0.0161,0.06,4.39,3.04,6.06,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,定义,0.0134,0.0071,-0.63,-1.07,0.15,False
软件,2026search,assistant_random,界面+深度（不可单独归因）,时效词,0.0168,0.0152,-0.16,-0.81,0.85,False
软件,2026search,assistant_random,界面+深度（不可单独归因）,输出约束,0.0064,0.0407,3.42,2.34,4.85,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,导航词,0.2843,0.0569,-22.74,-24.3,-20.89,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,资源词,0.0155,0.0986,8.31,6.58,10.34,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,回指上文,0.0004,0.0285,2.81,1.93,4.04,True
软件,2026search,assistant_random,界面+深度（不可单独归因）,多问句(一行≥2问),0.0003,0.0122,1.19,0.67,2.09,True
