层级,快照,名次,key,条数,行占比%,流量占比%
自上而下 L2 子意图,助手头部1k,7,NON_HEALTH_OTHER__1,42,4.384133611691023,3.5591103370039776
自上而下 L2 子意图,助手头部1k,8,TREATMENT_SEEKING__1,42,4.384133611691023,5.525444315850991
自上而下 L2 子意图,助手头部1k,9,CARE_NAVIGATION_COST__2,39,4.07098121085595,4.439911843457204
自上而下 L2 子意图,助手头部1k,10,CARE_NAVIGATION_COST__1,30,3.1315240083507305,5.825283510372145
自上而下 L2 子意图,助手随机1k,1,SUBSTANCE_EFFICACY_LOOKUP__2,96,9.619238476953909,11.44321093082835
自上而下 L2 子意图,助手随机1k,2,NON_HEALTH_OTHER__1,75,7.515030060120241,6.831767719897522
自上而下 L2 子意图,助手随机1k,3,TREATMENT_SEEKING__2,63,6.312625250501002,10.760034158838598
自上而下 L2 子意图,助手随机1k,4,PERMISSION_CHECK__2,59,5.9118236472945895,5.20922288642186
自上而下 L2 子意图,助手随机1k,5,RESULT_INTERPRETATION__2,56,5.61122244488978,4.867634500426984
自上而下 L2 子意图,助手随机1k,6,PERMISSION_CHECK__1,55,5.511022044088176,4.696840307429547
自上而下 L2 子意图,助手随机1k,7,DISEASE_CONCEPT_INFO__4,53,5.31062124248497,4.696840307429547
自上而下 L2 子意图,助手随机1k,8,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__3,53,5.31062124248497,5.0384286934244225
自上而下 L2 子意图,助手随机1k,9,CARE_NAVIGATION_COST__1,45,4.509018036072145,3.842869342442356
自上而下 L2 子意图,助手随机1k,10,SUBSTANCE_EFFICACY_LOOKUP__1,44,4.408817635270541,4.696840307429547
自上而下 L2 子意图,助手语音头部1k,1,SUBSTANCE_EFFICACY_LOOKUP__1,315,29.522024367385193,26.254154138313023
自上而下 L2 子意图,助手语音头部1k,2,DISEASE_CONCEPT_INFO__5,225,21.087160262417996,21.546130716885582
自上而下 L2 子意图,助手语音头部1k,3,SUBSTANCE_EFFICACY_LOOKUP__2,195,18.275538894095597,15.037980693147649
自上而下 L2 子意图,助手语音头部1k,4,NON_HEALTH_OTHER__2,96,8.997188378631678,9.76420319670834
自上而下 L2 子意图,助手语音头部1k,5,PERMISSION_CHECK__2,26,2.436738519212746,1.4401012818483938
自上而下 L2 子意图,助手语音头部1k,6,DISEASE_CONCEPT_INFO__3,25,2.343017806935333,2.401487577148283
自上而下 L2 子意图,助手语音头部1k,7,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__3,24,2.2492970946579196,3.3391359392308906
自上而下 L2 子意图,助手语音头部1k,8,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__2,15,1.4058106841611997,2.8248140528564645
自上而下 L2 子意图,助手语音头部1k,9,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__1,13,1.218369259606373,0.799177084981801
自上而下 L2 子意图,助手语音头部1k,10,TREATMENT_SEEKING__1,13,1.218369259606373,0.7596138629529989
自上而下 L2 子意图,助手语音1k,1,SUBSTANCE_EFFICACY_LOOKUP__2,193,19.3,19.3
自上而下 L2 子意图,助手语音1k,2,PERMISSION_CHECK__2,105,10.5,10.5
自上而下 L2 子意图,助手语音1k,3,SUBSTANCE_EFFICACY_LOOKUP__1,54,5.4,5.4
自上而下 L2 子意图,助手语音1k,4,SYMPTOM_ATTRIBUTION_DIFFERENTIATION__3,53,5.3,5.3
