层级,快照,名次,key,条数,行占比%,流量占比%
自上而下 L2 子意图,助手语音随机1k,6,FICTIONAL_PLOT_SETTING_LOOKUP__2,43,4.3,3.79851362510322
自上而下 L2 子意图,助手语音随机1k,7,REVERSE_ENTITY_RESOLUTION__1,39,3.9,3.715937241948802
自上而下 L2 子意图,助手语音随机1k,8,PERSON_LIST_LOOKUP__2,37,3.7,3.05532617671346
自上而下 L2 子意图,助手语音随机1k,9,POST_TENURE_AND_MOVE_RESOLUTION__6,36,3.6,3.137902559867878
自上而下 L2 子意图,助手语音随机1k,10,BIO_PROFILE_LOOKUP__2,31,3.1,2.8075970272502064
自下而上 家族,2025搜索,1,42,5827,58.36922768706802,60.615533142759276
自下而上 家族,2025搜索,2,55,2204,22.077531804066915,26.013089032849166
自下而上 家族,2025搜索,3,73,256,2.564359410998698,1.7649650120276652
自下而上 家族,2025搜索,4,71,171,1.7129119503155363,1.0016942707729002
自下而上 家族,2025搜索,5,41,129,1.2921967344485625,0.7903147787326574
自下而上 家族,2025搜索,6,69,129,1.2921967344485625,0.7200726130397067
自下而上 家族,2025搜索,7,72,92,0.921566663327657,0.43330736422602273
自下而上 家族,2025搜索,8,61,81,0.8113793448863067,0.5750675473057177
自下而上 家族,2025搜索,9,56,68,0.6811579685465291,0.4664996004173141
自下而上 家族,2025搜索,10,57,67,0.6711409395973155,0.29865980318731866
自下而上 家族,2025搜索随机1w,1,55,5033,50.33503350335034,42.11725147784586
自下而上 家族,2025搜索随机1w,2,42,1556,15.56155615561556,31.171249344686075
自下而上 家族,2025搜索随机1w,3,11,345,3.4503450345034503,1.2907424480720207
自下而上 家族,2025搜索随机1w,4,72,268,2.6802680268026804,3.91922917005622
自下而上 家族,2025搜索随机1w,5,71,215,2.15021502150215,2.019270748594464
自下而上 家族,2025搜索随机1w,6,61,205,2.0502050205020503,1.01596254316033
自下而上 家族,2025搜索随机1w,7,69,205,2.0502050205020503,2.167507276244192
自下而上 家族,2025搜索随机1w,8,63,143,1.4301430143014302,0.5911383480665977
自下而上 家族,2025搜索随机1w,9,49,136,1.36013601360136,1.4606721261095137
自下而上 家族,2025搜索随机1w,10,57,126,1.2601260126012601,1.540213677531319
自下而上 家族,2026搜索,1,42,4086,40.93368062512523,51.1615831106363
自下而上 家族,2026搜索,2,55,3943,39.50110198357043,32.038658715091415
自下而上 家族,2026搜索,3,73,431,4.317771989581246,3.1860000066802687
自下而上 家族,2026搜索,4,69,212,2.123822881186135,1.436167848431897
自下而上 家族,2026搜索,5,70,139,1.392506511721098,1.5431677680117388
自下而上 家族,2026搜索,6,61,118,1.1821278300941696,2.347305115364387
自下而上 家族,2026搜索,7,41,83,0.8314966940492887,0.4746073993225694
自下而上 家族,2026搜索,8,72,81,0.8114606291324384,0.50911355660333
自下而上 家族,2026搜索,9,71,72,0.721298337006612,0.3823811509537754
自下而上 家族,2026搜索,10,45,64,0.6411540773392106,0.9210035099673464
自下而上 家族,2026搜索随机1w,1,55,5001,50.01,37.52839339431518
自下而上 家族,2026搜索随机1w,2,42,1385,13.85,41.61090306341703
自下而上 家族,2026搜索随机1w,3,11,384,3.84,2.154828411811652
自下而上 家族,2026搜索随机1w,4,61,240,2.4,1.2769353551476457
自下而上 家族,2026搜索随机1w,5,69,238,2.38,1.2861440235741912
自下而上 家族,2026搜索随机1w,6,72,218,2.18,0.9883970777825527
自下而上 家族,2026搜索随机1w,7,71,212,2.12,1.11731843575419
自下而上 家族,2026搜索随机1w,8,63,152,1.52,2.2776106574989257
自下而上 家族,2026搜索随机1w,9,46,139,1.39,0.7213456934127325
自下而上 家族,2026搜索随机1w,10,52,136,1.36,0.49419853889127635
自下而上 家族,助手头部1k,1,42,447,50.28121484814398,52.213112035947006
自下而上 家族,助手头部1k,2,55,288,32.39595050618673,29.699391487456683
自下而上 家族,助手头部1k,3,72,36,4.049493813273341,5.264379632239559
自下而上 家族,助手头部1k,4,57,19,2.137232845894263,2.427417883968099
自下而上 家族,助手头部1k,5,51,10,1.124859392575928,0.9844804430369253
自下而上 家族,助手头部1k,6,43,8,0.8998875140607424,0.7614697153089818
自下而上 家族,助手头部1k,7,49,8,0.8998875140607424,1.6655336505778382
自下而上 家族,助手头部1k,8,73,8,0.8998875140607424,0.6337981462751405
自下而上 家族,助手头部1k,9,34,7,0.7874015748031497,1.14945863938585
自下而上 家族,助手头部1k,10,41,5,0.562429696287964,0.3552419956558505
自下而上 家族,助手随机1k,1,55,571,60.10526315789474,53.49417637271215
自下而上 家族,助手随机1k,2,42,58,6.105263157894737,17.22129783693844
自下而上 家族,助手随机1k,3,57,57,6.0,4.908485856905158
自下而上 家族,助手随机1k,4,72,30,3.1578947368421053,2.7454242928452586
自下而上 家族,助手随机1k,5,54,22,2.3157894736842106,1.830282861896839
自下而上 家族,助手随机1k,6,11,20,2.1052631578947367,1.830282861896839
自下而上 家族,助手随机1k,7,53,16,1.6842105263157894,1.5806988352745426
自下而上 家族,助手随机1k,8,50,14,1.4736842105263157,1.1647254575707158
自下而上 家族,助手随机1k,9,25,13,1.368421052631579,1.0815307820299502
自下而上 家族,助手随机1k,10,46,12,1.263157894736842,0.9983361064891849
自下而上 家族,助手语音头部1k,1,42,682,68.26826826826827,68.92346105829252
自下而上 家族,助手语音头部1k,2,55,154,15.415415415415415,14.112167482954002
自下而上 家族,助手语音头部1k,3,71,20,2.002002002002002,1.906271007394603
自下而上 家族,助手语音头部1k,4,34,17,1.7017017017017018,3.908575818688178
自下而上 家族,助手语音头部1k,5,72,17,1.7017017017017018,1.2004225487371556
自下而上 家族,助手语音头部1k,6,46,13,1.3013013013013013,1.1524056467876693
自下而上 家族,助手语音头部1k,7,61,11,1.1011011011011012,1.181215787957361
自下而上 家族,助手语音头部1k,8,41,8,0.8008008008008008,0.6770383174877558
自下而上 家族,助手语音头部1k,9,43,8,0.8008008008008008,0.6290214155382694
自下而上 家族,助手语音头部1k,10,50,6,0.6006006006006006,0.42735042735042733
自下而上 家族,助手语音随机1k,1,55,482,48.2,43.600330305532616
自下而上 家族,助手语音随机1k,2,42,210,21.0,23.286540049545827
自下而上 家族,助手语音随机1k,3,72,50,5.0,4.789430222956234
自下而上 家族,助手语音随机1k,4,57,27,2.7,2.394715111478117
自下而上 家族,助手语音随机1k,5,49,15,1.5,4.0462427745664735
自下而上 家族,助手语音随机1k,6,50,15,1.5,1.4037985136251032
自下而上 家族,助手语音随机1k,7,25,12,1.2,1.1560693641618496
自下而上 家族,助手语音随机1k,8,61,12,1.2,1.1560693641618496
自下而上 家族,助手语音随机1k,9,71,12,1.2,1.3212221304706853
自下而上 家族,助手语音随机1k,10,46,11,1.1,0.9083402146985959
自下而上 叶,2025搜索,1,55,5827,58.36922768706802,60.615533142759276
自下而上 叶,2025搜索,2,0,2204,22.077531804066915,26.013089032849166
自下而上 叶,2025搜索,3,48,256,2.564359410998698,1.7649650120276652
自下而上 叶,2025搜索,4,24,171,1.7129119503155363,1.0016942707729002
自下而上 叶,2025搜索,5,25,129,1.2921967344485625,0.7903147787326574
自下而上 叶,2025搜索,6,8,129,1.2921967344485625,0.7200726130397067
自下而上 叶,2025搜索,7,26,92,0.921566663327657,0.43330736422602273
自下而上 叶,2025搜索,8,6,81,0.8113793448863067,0.5750675473057177
自下而上 叶,2025搜索,9,14,68,0.6811579685465291,0.4664996004173141
自下而上 叶,2025搜索,10,17,67,0.6711409395973155,0.29865980318731866
自下而上 叶,2025搜索随机1w,1,0,5033,50.33503350335034,42.11725147784587
自下而上 叶,2025搜索随机1w,2,55,1556,15.56155615561556,31.171249344686082
自下而上 叶,2025搜索随机1w,3,21,345,3.4503450345034503,1.2907424480720209
自下而上 叶,2025搜索随机1w,4,26,268,2.6802680268026804,3.9192291700562207
自下而上 叶,2025搜索随机1w,5,24,215,2.15021502150215,2.0192707485944643
自下而上 叶,2025搜索随机1w,6,6,205,2.0502050205020503,1.0159625431603303
自下而上 叶,2025搜索随机1w,7,8,205,2.0502050205020503,2.1675072762441925
自下而上 叶,2025搜索随机1w,8,31,143,1.4301430143014302,0.5911383480665978
自下而上 叶,2025搜索随机1w,9,12,136,1.36013601360136,1.460672126109514
自下而上 叶,2025搜索随机1w,10,17,126,1.2601260126012601,1.5402136775313193
自下而上 叶,2026搜索,1,55,4086,40.93368062512523,51.16158311063629
自下而上 叶,2026搜索,2,0,3943,39.50110198357043,32.038658715091415
自下而上 叶,2026搜索,3,48,431,4.317771989581246,3.1860000066802683
自下而上 叶,2026搜索,4,8,212,2.123822881186135,1.4361678484318967
自下而上 叶,2026搜索,5,20,139,1.392506511721098,1.5431677680117386
自下而上 叶,2026搜索,6,6,118,1.1821278300941696,2.3473051153643865
自下而上 叶,2026搜索,7,25,83,0.8314966940492887,0.4746073993225693
